[2015-08-31 15:52:41] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 16:12:25] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 16:14:02] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 16:24:44] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 16:28:09] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 17:43:57] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 17:47:00] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 17:47:27] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 17:48:55] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 17:55:58] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 18:08:35] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 18:29:27] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 18:29:47] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
[2015-08-31 18:30:51] [Debug] [e:\luo\vcproject\ehome\ehomeclient\ehomeclientdlg.cpp-139: start client]
